name,birim,belediyeNo,dahiliNo,email
Mert Koç,Hukuk,0216 968 64 47,411,mert.koc@belediye.gov.tr
İpek Yıldız,Pazarlama,0312 935 55 21,304,i̇pek.yildiz@belediye.gov.tr
Hülya Yıldız,Muhasebe,0216 154 47 89,469,hulya.yildiz@belediye.gov.tr
Gamze Gül,Satın Alma,0316 862 76 70,962,gamze.gul@belediye.gov.tr
Ayşe Yılmaz,Hukuk,0212 100 87 81,381,ayse.yilmaz@belediye.gov.tr
Ayşe Arslan,Yazılım,0216 482 15 23,142,ayse.arslan@belediye.gov.tr
Gamze Uçar,Muhasebe,0312 259 62 14,110,gamze.ucar@belediye.gov.tr
Fatma Kaplan,Hukuk,0312 287 47 39,799,fatma.kaplan@belediye.gov.tr
Burak Şahin,İnsan Kaynakları,0316 300 70 36,404,burak.sahin@belediye.gov.tr
Derya Aslan,Hukuk,0316 656 81 52,498,derya.aslan@belediye.gov.tr
Seda Gül,Yazılım,0312 800 23 94,238,seda.gul@belediye.gov.tr
Zehra Yıldız,Yazılım,0316 427 81 33,916,zehra.yildiz@belediye.gov.tr
Sinem Yüce,Yazılım,0216 563 25 67,609,sinem.yuce@belediye.gov.tr
Hakan Tuncer,Yazılım,0312 538 42 51,175,hakan.tuncer@belediye.gov.tr
Mert Öz,Hukuk,0312 318 85 80,370,mert.oz@belediye.gov.tr
Taylan Korkmaz,İnsan Kaynakları,0212 636 36 85,140,taylan.korkmaz@belediye.gov.tr
Emre Öz,Satın Alma,0212 876 54 47,508,emre.oz@belediye.gov.tr
Canan Arslan,Pazarlama,0212 793 56 77,926,canan.arslan@belediye.gov.tr
Cem Öztürk,Satın Alma,0312 446 11 73,477,cem.ozturk@belediye.gov.tr
Derya Yılmaz,Teknik Servis,0316 179 19 61,267,derya.yilmaz@belediye.gov.tr
Taylan Yılmaz,Hukuk,0216 437 19 53,347,taylan.yilmaz@belediye.gov.tr
Taylan Korkmaz,Teknik Servis,0216 875 97 84,293,taylan.korkmaz@belediye.gov.tr
Ayşe Yıldız,Muhasebe,0212 972 15 71,445,ayse.yildiz@belediye.gov.tr
Serkan Yıldırım,Hukuk,0316 829 21 20,905,serkan.yildirim@belediye.gov.tr
Fatma Tuncer,Muhasebe,0216 384 76 63,703,fatma.tuncer@belediye.gov.tr
Elif Kaplan,Satın Alma,0316 840 13 34,268,elif.kaplan@belediye.gov.tr
Esra Arslan,Teknik Servis,0212 868 66 14,542,esra.arslan@belediye.gov.tr
İpek Arslan,Hukuk,0212 661 73 94,947,i̇pek.arslan@belediye.gov.tr
Emre Yıldırım,Yazılım,0212 390 68 46,600,emre.yildirim@belediye.gov.tr
Ece Arslan,İnsan Kaynakları,0312 892 53 40,358,ece.arslan@belediye.gov.tr
Derya Uçar,Pazarlama,0216 923 87 41,519,derya.ucar@belediye.gov.tr
Zeynep Arslan,Pazarlama,0312 538 70 72,320,zeynep.arslan@belediye.gov.tr
Can Yıldırım,Muhasebe,0216 347 34 76,344,can.yildirim@belediye.gov.tr
Serkan Yüce,Muhasebe,0212 706 75 72,445,serkan.yuce@belediye.gov.tr
Hakan Demir,Pazarlama,0312 208 30 20,372,hakan.demir@belediye.gov.tr
Elif Aydın,İnsan Kaynakları,0212 801 52 78,455,elif.aydin@belediye.gov.tr
Sinem Yıldırım,İnsan Kaynakları,0312 929 26 79,553,sinem.yildirim@belediye.gov.tr
Ali Yıldırım,Yazılım,0312 401 55 16,907,ali.yildirim@belediye.gov.tr
Serkan Tuncer,Yazılım,0316 168 26 65,122,serkan.tuncer@belediye.gov.tr
Ahmet Demirtaş,Yazılım,0216 908 74 54,202,ahmet.demirtas@belediye.gov.tr
Okan Duran,Teknik Servis,0312 869 19 10,518,okan.duran@belediye.gov.tr
Nil Aydın,Teknik Servis,0216 936 72 67,556,nil.aydin@belediye.gov.tr
Hakan Bal,Hukuk,0216 987 96 83,627,hakan.bal@belediye.gov.tr
Elif Kara,İnsan Kaynakları,0216 780 92 98,975,elif.kara@belediye.gov.tr
Burak Yıldız,Pazarlama,0212 624 98 70,795,burak.yildiz@belediye.gov.tr
Nil Bal,Teknik Servis,0216 934 50 65,286,nil.bal@belediye.gov.tr
Gamze Korkmaz,Yazılım,0216 991 12 35,114,gamze.korkmaz@belediye.gov.tr
Sinem Öztürk,İnsan Kaynakları,0312 145 78 27,274,sinem.ozturk@belediye.gov.tr
Sinem Güneş,İnsan Kaynakları,0316 122 21 23,380,sinem.gunes@belediye.gov.tr
Sinem Yıldırım,Teknik Servis,0316 982 47 65,828,sinem.yildirim@belediye.gov.tr
